isocode	year	ntbcov	lnntb	l_lnntb	dlnntb	lngdppc	wlrca	wlxm	lsitc3	wlrcac	wlxmc	lsitc3c	tradeshare	fsharec	f_rca	f_xm	f_sitc
ARG	1993	13.2629	2.58497	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARG	2000	69.7781	4.24532	2.58497	1.66035	8.66143	0.9581	0.9312	0.6006	0.248697	0.277921	-0.154849	0	-18.9147	-4.70403	-5.25678	2.92891
AUS	1993	11.0439	2.40188	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AUS	1999	35.4308	3.56758	2.40188	1.1657	9.83312	-0.308	-0.1202	0.2029	-1.0174	-0.773479	-0.552549	5.31274	-13.602	13.8387	10.5208	7.51574
BGD	1994	35.1651	3.56005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BGD	2000	21.4798	3.06711	3.56005	-0.492942	5.6282	1	1	1	0.290597	0.346721	0.244551	0	-18.9147	-5.49656	-6.55811	-4.62562
BOL	1995	16.6043	2.80966	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BOL	1999	20.5572	3.02321	2.80966	0.213549	6.72427	-0.0468	-0.5906	0.5479	-0.756203	-1.24388	-0.207549	9.08191	-9.83278	7.43558	12.2308	2.04078
BRA	1993	35.5524	3.57101	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BRA	1999	60.4313	4.10151	3.57101	0.530498	8.31345	0.3693	-0.2668	0.5588	-0.340103	-0.920079	-0.196649	0	-18.9147	6.43294	17.403	3.71955
CAN	1993	24.3646	3.19313	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAN	2000	19.6823	2.97972	3.19313	-0.213409	9.85897	0.0133	0.0811	0.542	-0.696103	-0.572179	-0.213449	75.7035	56.7888	-39.5309	-32.4934	-12.1215
CHE	1993	36.148	3.58762	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CHE	1996	20.3647	3.0138	3.58762	-0.573819	10.7354	0.9676	0.8053	0.8429	0.258197	0.152021	0.0874514	70.6991	51.7844	13.3706	7.87229	4.52862
CHL	1991	48.5183	3.88194	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CHL	1999	37.4704	3.62355	3.88194	-0.25839	8.09639	1	1	1	0.290597	0.346721	0.244551	0	-18.9147	-5.49656	-6.55811	-4.62562
CHN	1993	53.9361	3.9878	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CHN	1997	47.69	3.86472	3.9878	-0.12308	5.85551	1	1	1	0.290597	0.346721	0.244551	0	-18.9147	-5.49656	-6.55811	-4.62562
DZA	1992	14.5855	2.68003	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DZA	1999	38.8305	3.65921	2.68003	0.979177	7.40724	1	1	1	0.290597	0.346721	0.244551	0	-18.9147	-5.49656	-6.55811	-4.62562
ECU	1995	20.6322	3.02685	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ECU	1999	47.6254	3.86337	3.02685	0.836514	7.29656	0.7764	0.6587	0.3516	0.0669972	0.0054206	-0.403849	9.29353	-9.62117	-0.644591	-0.0521522	3.88549
EU	1993	29.4582	3.38297	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EU	1999	31.0704	3.43625	3.38297	0.0532815	9.98247	0.892	NA	0.763	0.182597	NA	0.0075514	0	-18.9147	-3.45377	NA	-0.142833
HUN	1993	83.9002	4.42963	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HUN	1999	16.0886	2.77811	4.42963	-1.65152	8.48827	0.8958	0.3806	1	0.186397	-0.272679	0.244551	81.1861	62.2714	11.6072	-16.9801	15.2286
IDN	1994	14.1131	2.64711	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IDN	1999	15.7037	2.7539	2.64711	0.106792	6.65501	0.7042	0.4945	0.6438	-0.0052028	-0.158779	-0.111649	8.50576	-10.4089	0.0541559	1.65272	1.16214
IND	1992	86.5352	4.46055	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IND	1997	52.6128	3.96296	4.46055	-0.497593	5.77765	1	1	1	0.290597	0.346721	0.244551	0	-18.9147	-5.49656	-6.55811	-4.62562
ISL	1993	7.58475	2.02614	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ISL	1996	9.0109	2.19844	2.02614	0.172295	10.1931	0.9772	0.9824	0.8019	0.267797	0.329121	0.0464514	74.6889	55.7742	14.9362	18.3564	2.59079
JPN	1993	40.1741	3.69322	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
JPN	1996	40.1551	3.69275	3.69322	-0.0004721	10.5955	1	1	1	0.290597	0.346721	0.244551	0	-18.9147	-5.49656	-6.55811	-4.62562
KOR	1992	2.24041	0.806661	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOR	1996	2.74385	1.00936	0.806661	0.2027	8.98311	1	1	1	0.290597	0.346721	0.244551	0	-18.9147	-5.49656	-6.55811	-4.62562
MEX	1991	9.29322	2.22928	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MEX	1999	54.0234	3.98942	2.22928	1.76013	8.0669	-0.1255	0.3176	0.4885	-0.834903	-0.335679	-0.266949	78.7136	59.7989	-49.9263	-20.0733	-15.9632
MYS	1991	16.0527	2.77588	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MYS	1996	16.091	2.77826	2.77588	0.0023813	8.04046	0.9418	0.8277	0.6997	0.232397	0.174421	-0.0557486	28.8688	9.95408	2.3133	1.7362	-0.554926
NOR	1993	23.2256	3.14526	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NOR	1996	18.9675	2.94273	3.14526	-0.202529	10.2695	0.7828	0.8159	0.7548	0.0733972	0.162621	-0.0006486	77.3585	58.4438	4.28961	9.50417	-0.0379042
NPL	1993	24.7339	3.20817	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NPL	1998	0.0667762	-2.70641	3.20817	-5.91458	5.23576	1	1	1	0.290597	0.346721	0.244551	0	-18.9147	-5.49656	-6.55811	-4.62562
NZL	1993	1.38611	0.326499	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZL	1999	49.2831	3.89758	0.326499	3.57108	9.61806	0.2125	0.3166	0.5613	-0.496903	-0.336679	-0.194149	22.3734	3.45873	-1.71865	-1.16448	-0.671507
OMN	1992	4.20626	1.43657	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OMN	1999	16.1739	2.7834	1.43657	1.34682	8.62717	1	1	1	0.290597	0.346721	0.244551	0	-18.9147	-5.49656	-6.55811	-4.62562
PHL	1994	7.35026	1.99474	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PHL	1998	5.13528	1.63613	1.99474	-0.358602	6.99473	0.1767	0.2563	0.4852	-0.532703	-0.396979	-0.270249	11.3394	-7.57533	4.0354	3.00725	2.04722
POL	1991	1.00161	0.0016096	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
POL	1999	23.4996	3.15698	0.0016096	3.15537	8.00316	0.477	0.0869	0.6328	-0.232403	-0.566379	-0.122649	74.2468	55.3321	-12.8593	-31.339	-6.78641
PRY	1993	1.344	0.295652	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PRY	1999	38.4913	3.65043	0.295652	3.35478	7.5079	1	1	0.6567	0.290597	0.346721	-0.0987486	0	-18.9147	-5.49656	-6.55811	1.8678
SAU	1994	8.99972	2.19719	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAU	1999	17.6427	2.87032	2.19719	0.673127	8.86826	1	1	1	0.290597	0.346721	0.244551	0	-18.9147	-5.49656	-6.55811	-4.62562
TUN	1992	30.7486	3.42584	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TUN	1999	60.4665	4.10209	3.42584	0.676247	7.50836	1	1	1	0.290597	0.346721	0.244551	0	-18.9147	-5.49656	-6.55811	-4.62562
TUR	1994	5.09764	1.62878	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TUR	1997	23.5704	3.15999	1.62878	1.53121	7.85899	0.5357	0.3547	0.6511	-0.173703	-0.298579	-0.104349	0	-18.9147	3.28554	5.64754	1.97372
TWN	1992	53.3189	3.97629	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TWN	1999	20.6566	3.02803	3.97629	-0.948257	NA	1	1	1	0.290597	0.346721	0.244551	0	-18.9147	-5.49656	-6.55811	-4.62562
URY	1995	29.9545	3.39968	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URY	1999	47.8431	3.86793	3.39968	0.468246	8.49091	0.9294	0.9124	0.6361	0.219997	0.259121	-0.119349	0	-18.9147	-4.16118	-4.90119	2.25744
USA	1993	47.1777	3.85392	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
USA	1999	49.6474	3.90495	3.85392	0.0510261	10.1712	0.6965	0.3703	0.5838	-0.0129029	-0.282979	-0.171649	27.9307	9.01601	-0.116332	-2.55134	-1.54758
VEN	1992	13.1519	2.57657	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VEN	1999	33.3003	3.50556	2.57657	0.928998	8.11662	0.0031	0.5969	0.4353	-0.706303	-0.0563794	-0.320149	6.71151	-12.2032	8.61914	0.688008	3.90683
ZAF	1991	80.9125	4.39337	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZAF	1999	12.1254	2.49531	4.39337	-1.89806	8.3218	1	1	1	0.290597	0.346721	0.244551	0	-18.9147	-5.49656	-6.55811	-4.62562

