country	isocode	year	smfn	iwmfn	pwmfn	lnsmfn	l_lnsmfn	dlnsmfn	lniwmfn	l_lniwmfn	dlniwmfn	lnpwmfn	l_lnpwmfn	dlnpwmfn	lngdppc	wlrca	wlxm	lsitc3	wlrcac	wlxmc	lsitc3c	tradeshare	fsharec	f_rca	f_xm	f_sitc	growth	dunemp	dxr	imf	polity	govcons	cu	eu	checks2a	checks3	polcon3	polcon5	xicrca
argentina	ARG	1992	13.4057	14.2197	10.1143	2.59568	NA	NA	2.65463	NA	NA	2.31396	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.13543	NA	NA	NA	NA	NA	NA	NA
argentina	ARG	1998	15.7179	15.9781	15.0359	2.7548	2.59568	0.159113	2.77122	2.65463	0.116592	2.71044	2.31396	0.396486	8.66143	0.9581	0.9312	0.6006	0.29403	0.366783	-0.100993	0	-22.6443	-6.6581	-8.30553	2.28692	0.0886897	6.9	0.031566	8	7	3.13543	1	0	2.85714	3.28571	0.451341	0.553038	1.19947
australia	AUS	1996	6.07	5.08	4.7	1.80336	2.65395	-0.850587	1.62531	2.61813	-0.992814	1.54756	2.50471	-0.957147	9.83312	-0.308	-0.1202	0.2029	-0.97207	-0.684617	-0.498693	5.31274	-17.3315	16.8475	11.8655	8.64313	0.400395	1.38	-0.0619875	0	10	18.8503	0	0	2	4.27273	0.511137	0.866959	1.48233
australia	AUS	1988	14.21	13.71	12.24	2.65395	NA	NA	2.61813	NA	NA	2.50471	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.8503	NA	NA	NA	NA	NA	NA	NA
austria	AUT	1988	10.9581	11.7382	11.235	2.39408	NA	NA	2.46285	NA	NA	2.41904	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.9482	NA	NA	NA	NA	NA	NA	NA
austria	AUT	1996	6.71077	6.00351	8.18339	1.90371	2.39408	-0.490363	1.79235	2.46285	-0.670507	2.10211	2.41904	-0.316928	10.222	0.8542	0.4497	0.7917	0.19013	-0.114717	0.0901067	0	-22.6443	-4.30536	2.59769	-2.0404	0.308877	1.73	0.0948773	0	10	18.9482	1	1	3	6	0.425844	0.737672	1.69534
bolivia	BOL	1993	9.52601	9.35477	9.51815	2.25403	NA	NA	2.23589	NA	NA	2.2532	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.7555	NA	NA	NA	NA	NA	NA	NA
bolivia	BOL	1998	9.83448	9.45384	9.97461	2.2859	2.25403	0.0318685	2.24642	2.23589	0.0105345	2.30004	2.2532	0.0468423	6.72427	-0.0468	-0.5906	0.5479	-0.71087	-1.15502	-0.153693	9.08191	-13.5624	9.64108	15.6648	2.08445	0.275373	-1.3	0.0587837	8	9	11.7555	0	0	4.42857	4.85714	0.298453	0.298453	1.70179
brazil	BRA	1990	39.2629	29.7823	32.4151	3.67028	NA	NA	3.39391	NA	NA	3.47863	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.2921	NA	NA	NA	NA	NA	NA	NA
brazil	BRA	1998	16.9057	17.6218	15.6711	2.82765	3.67028	-0.84263	2.86914	3.39391	-0.524778	2.75182	3.47863	-0.726808	8.31345	0.3693	-0.2668	0.5588	-0.29477	-0.831217	-0.142793	0	-22.6443	6.67486	18.8223	3.23345	0.562394	0.9	-0.298222	2	8	19.2921	1	0	4	4.42857	0.655031	0.849502	1.59935
